Soort;Naam;Beschrijving;Locatie;Latitude;Longitude
Tramhalte;Tramhalte Prinses Irenestraat;Lijn 5;Prinses Irenestraat;52.342904;4.876771
Tramhalte;Tramhalte Stadionweg / Beethovenstraat;Lijn 5 | 24;Stadionweg / Beethovenstraat;52.347097;4.876902
Tramhalte;Tramhalte Minervaplein;Lijn 24;Minervaplein;52.346736;4.872528
Tramhalte;Tramhalte IJburg;Lijn 26;IJburg;52.35095;5.004301
Tramhalte;Tramhalte Oostpoort;Lijn 19;Oostpoort;52.357213;4.927077
Tramhalte;Tramhalte Muziekgebouw Bimhuis;Lijn 26;Muziekgebouw Bimhuis;52.377247;4.913021
Tramhalte;Tramhalte Kattenburgerstraat;Lijn 26;Kattenburgerstraat;52.376122;4.921578
Tramhalte;Tramhalte Zuiderzeeweg;Lijn 26;Zuiderzeeweg;52.372026;4.96151
Tramhalte;Tramhalte Steigereiland;Lijn 26;Steigereiland;52.362993;4.980435
Tramhalte;Tramhalte Vennepluimstraat;Lijn 26;Vennepluimstraat;52.357584;4.990809
Tramhalte;Tramhalte Diemerparklaan;Lijn 26;Diemerparklaan;52.355237;4.995222
Tramhalte;Tramhalte Lumièrestraat;Lijn 26;Lumièrestraat;52.352886;4.99964
Tramhalte;Tramhalte Zoutkeetsgracht;Lijn _;Zoutkeetsgracht;52.388067;4.885239
Tramhalte;Tramhalte Beukenweg;Lijn 1 | 3;Beukenweg;52.358589;4.91704
Tramhalte;Tramhalte Marnixplein;Lijn 5;Marnixplein;52.377477;4.8784651
Tramhalte;Tramhalte Victorieplein;Lijn 4 | 12;Victorieplein;52.346245;4.904905
Tramhalte;Tramhalte Wibautstraat;Lijn 3;Wibautstraat;52.357323;4.909558
Tramhalte;Tramhalte Lutmastraat;Lijn 4;Lutmastraat;52.351688;4.903209
Tramhalte;Tramhalte Amsteldijk;Lijn 12;Amsteldijk;52.347096;4.910978
Tramhalte;Tramhalte Muiderpoortstation;Lijn 1 | 3;Muiderpoortstation;52.360938;4.932956
Tramhalte;Tramhalte Fredrik Hendrikplantsoen;Lijn 3;Fredrik Hendrikplantsoen;52.378542;4.875341
Tramhalte;Tramhalte Amstelkade;Lijn 4;Amstelkade;52.349068;4.904193
Tramhalte;Tramhalte Camperstraat;Lijn 3;Camperstraat;52.358356;4.913602
